rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
Made in Heaven (manga),{Ami_Sakurai|Yukari_Yashiki},2007-02-09,NULL,NULL,2,{Tokyopop|Madman Entertainment}
NULL,NULL,2011-06-01,NULL,NULL,NULL,Hobby Japan
Madness (manga),Kairi_Shimotsuki,2004-07-24,NULL,NULL,2,Gentosha
Maestro (manga),Akira Sasō,NULL,NULL,Manga Action,3,Futabasha
Magi: The Labyrinth of Magic,Shinobu Ohtaka,{2009-06-03|2013-04-08},NULL,Weekly Shōnen Sunday,{8|28},Shogakukan
Magic Kaito,Gosho Aoyama,NULL,NULL,Weekly Shōnen Sunday,4,Shogakukan
Magic Knight Rayearth,Clamp (manga artists),NULL,NULL,Nakayoshi,3,Kodansha
NULL,{Chiaki J. Konaka|Junichi Sato},NULL,NULL,NULL,4,Fujimi Shobo
NULL,Junichi Sato,NULL,NULL,Monthly Asuka Fantasy DX,4,Kadokawa Shoten
NULL,Junichi Sato,NULL,NULL,NULL,3,Fujimi Shobo
Magic Woman M,Nekoshita_Pong,NULL,NULL,Monthly_Fantazine,1,NULL
NULL,Kiyoko Arai,NULL,NULL,Shōjo Comic,3,Shogakukan
Magical Girl Apocalypse,NULL,NULL,NULL,Weekly Shōnen Champion,10,Akita Shoten
Magical Girl Lyrical Nanoha A's,NULL,NULL,NULL,Megami Magazine,1,Gakken
Magical Girl Lyrical Nanoha Strikers,NULL,NULL,NULL,Megami Magazine,2,Gakken
Magical Girl Lyrical Nanoha ViVid,NULL,2009-05-26,NULL,{Comptiq|Monthly Comp Ace},{3|13},Kadokawa Shoten
NULL,NULL,NULL,NULL,Megami Magazine,2,Gakken
Magical Meow Meow Taruto,Kaishaku (manga group),NULL,NULL,Ultra Jump,3,Shueisha
Magical Pokémon Journey,Yumi Tsukirino,NULL,NULL,Ciao (magazine),10,Shogakukan
Magical Record Lyrical Nanoha Force,NULL,{2009-04-30|2011-03-09},NULL,NULL,6,Kadokawa Shoten
Magical Shopping Arcade Abenobashi,Satoru Akahori,NULL,NULL,Monthly Afternoon,2,Kodansha
Magical Somera-chan,NULL,2015-04-22,NULL,NULL,{1|2},Ichijinsha
Magical Taluluto,Tatsuya Egawa,NULL,NULL,Weekly Shōnen Jump,21,Shueisha
Magical Warfare,NULL,{2011-11-25|2013-04-15},NULL,Monthly Comic Gene,{5|12},Media Factory
Magical Witch Punie-chan,NULL,NULL,NULL,Ace_MomoGumi,4,Kadokawa Shoten
Magical × Miracle,Yuzu_Mizutani,NULL,NULL,Monthly Comic Zero Sum,6,Ichijinsha
Magician's Academy,Ichirō Sakaki,{2003-01-24|2008-02-27},2007-08-30,{Monthly Comic Alive|Magi-Cu},{1|9},{Media Factory|Enterbrain}
Magico (manga),Naoki_Iwamoto,2011-02-28,2012-07-02,Weekly Shōnen Jump,8,Shueisha
Magikano,Takeaki Momose,NULL,NULL,Monthly Magazine Z,10,Kodansha
Magimoji Rurumo,NULL,NULL,NULL,Monthly Shōnen Sirius,{5|7},Kodansha
Magudala de Nemure,Isuna Hasekura,2012-07-10,NULL,Young Ace,{4|6},{ASCII Media Works|Kadokawa Shoten}
Mahjong Hishō-den: Naki no Ryū,Junichi_Nojo,NULL,NULL,NULL,9,Takeshobo
NULL,Izumi Todo,NULL,NULL,Nakayoshi,NULL,Kodansha
Mahoraba,Akira Kojima,NULL,NULL,Gangan Comics,12,{Square Enix|Enix}
Mahoromatic,Bunjūrō Nakayama,NULL,NULL,Comic Gum,8,Wani Books
Mahou Shoujo Nante Mouiidesukara,NULL,2015-03-31,NULL,Comic Earth Star,1,Earth Star Entertainment
Mahō Shōjo Ikusei Keikaku,NULL,2012-06-08,NULL,NULL,8,Takarajimasha
Mahō no Iroha!,Kazurou Inoue,NULL,NULL,Shōnen Sunday Super,3,Shogakukan
Mahōjin Guru Guru,Hiroyuki_Etō,NULL,NULL,Gangan Comics,16,Enix
Mai the Psychic Girl,Kazuya_Kudō,NULL,NULL,Weekly Shōnen Sunday,6,{Shogakukan|Viz Media|Media Factory}
Mai-chan's Daily Life,NULL,{2003-02-24|2004-04-21},NULL,NULL,1,NULL
Maico 2010,Toshimitsu_Shimizu,NULL,NULL,Young King OURs,4,Shōnen Gahōsha
Maid Deka,Yūji_Hayami,{2006-04-15|2007-10-12},{2008-12-16|2009-07-15},{FlexComix_Blood|FlexComix_Next},{3|9},{SB Creative|Flex Comix}
Maid Sama!,Hiro Fujiwara,NULL,NULL,LaLa,18,Hakusensha
Maiden Rose,Fusanosuke_Inariya,NULL,NULL,NULL,4,Digital Manga
Mail (manga),Housui Yamazaki,NULL,NULL,Monthly Shōnen Ace,3,Kadokawa Shoten
Mainichi Kaasan,Rieko Saibara,NULL,NULL,NULL,11,Mainichi Shimbun
Maison Ikkoku,Rumiko Takahashi,NULL,NULL,Big Comic Spirits,15,Shogakukan
Majestic Prince (manga),{Rando Ayamine|Yūsuke_Ozaki},{2011-11-01|2013-04-10},2013-10-18,Monthly_Hero's,{2|7},{Shogakukan|Kadokawa Shoten}
Maji Suki: Marginal Skip,Moonstone (company),NULL,NULL,Comic High!,2,Futabasha
Majin Bone,NULL,2014-01-04,NULL,Saikyō Jump,1,Shueisha
NULL,Go Nagai,NULL,NULL,NULL,NULL,Akita Shoten
NULL,Go Nagai,NULL,NULL,NULL,NULL,Shogakukan
NULL,Go Nagai,NULL,NULL,NULL,NULL,Shogakukan
Majokko Tsukune-chan,Hiroaki_Magari,NULL,NULL,{Monthly Shōnen Sirius|Young Magazine Uppers},2,NULL
Major (manga),Takuya Mitsuda,NULL,NULL,Weekly Shōnen Sunday,{3|78},Shogakukan
Maka-Maka (manga),Torajirō_Kishi,NULL,NULL,Pent-Japan_Special,2,{Media Blasters|Jive (publisher)}
NULL,Takehito Harada,NULL,NULL,Monthly Comic Zero Sum,NULL,{Broccoli (company)|Ichijinsha}
NULL,Takehito Harada,NULL,NULL,Dengeki Maoh,4,{Broccoli (company)|MediaWorks (publisher)}
NULL,NULL,2009-05-29,2010-12-03,NULL,2,Enterbrain
NULL,NULL,NULL,NULL,NULL,2,MediaWorks (publisher)
NULL,NULL,NULL,NULL,NULL,9,Enterbrain
NULL,NULL,NULL,NULL,NULL,4,Enterbrain
NULL,NULL,NULL,NULL,NULL,3,Enterbrain
Make Love & Peace,NULL,{2006-04-17|2007-06-16},NULL,Ren-ai_Hakusho_Pastel,1,{Aurora Publishing|Ohzora Publishing}
Maken-ki!,Hiromitsu Takeda (artist),2007-04-20,NULL,{Dragon Age Pure|Monthly Dragon Age},14,Fujimi Shobo
NULL,Q Hayashida,2000-01-21,2001-11-22,Monthly Magazine Z,3,Kodansha
Makoto-chan,Kazuo Umezu,NULL,NULL,Weekly Shōnen Sunday,{4|24},Shogakukan
Makoto Call!,Kazuko Fujita,NULL,NULL,Shōjo Comic,9,Shogakukan
Mama Loves the Poyopoyo-Saurus,Takako Aonuma,NULL,NULL,Petit_Enfant,4,NULL
NULL,NULL,NULL,NULL,NULL,2,Shogakukan
Mamoru-kun ni Megami no Shukufuku o!,Hiroki_Iwata,2003-09-25,NULL,Dengeki hp,16,MediaWorks (publisher)
Mamotte! Lollipop,NULL,{2002-10-03|2006-07-03},2007-12-28,Nakayoshi,{6|7},Kodansha
Mamotte Shugogetten,Minene Sakurano,1997-02-22,2000-04-22,{Gangan Comics|Monthly Comic Blade},{6|10|11},{Square Enix|Mag Garden}
Man's Best Friend (manga),Kazusa Takashima,2004-03-10,NULL,NULL,1,{Tokyopop|Libre Publishing}
Man of Many Faces,Clamp (manga artists),NULL,NULL,Monthly Newtype,2,{Tokyopop|Kadokawa Shoten}
Manga Bible (series),NULL,NULL,NULL,NULL,5,{Tyndale House|Japan Bible Society}
Manga Dogs,Ema Tōyama,2010-09-01,2013-12-28,Aria (magazine),3,Kodansha
Manga Kenkanryu,Sharin Yamano,2005-07-26,2009-04-30,NULL,4,Shinyusha
Mangirl!,NULL,NULL,NULL,Comic Earth Star,3,Earth Star Entertainment
Maniac Road,Shinsuke_Kurihashi,NULL,NULL,Dengeki Daioh,3,MediaWorks (publisher)
Maniattemasu,Ai Morinaga,NULL,NULL,NULL,2,Kadokawa Shoten
Manyū Hiken-chō,NULL,2007-03-24,2012-01-25,NULL,7,NULL
Maoh: Juvenile Remix,Kōtarō Isaka,NULL,NULL,Weekly Shōnen Sunday,10,Shogakukan
Maoyu,Mamare Touno,{2010-12-29|2011-05-19|2011-05-26|2011-06-24|2011-11-26},{2012-12-22|2014-03-25|2014-10-02},{Monthly Comp Ace|Magi-Cu|Champion Red|Monthly Shōnen Sirius},{3|6|7|8|12},{Kodansha|Kadokawa Shoten|Enterbrain|Akita Shoten}
Maps (manga),NULL,NULL,NULL,NULL,{2|17},Gakken
March Comes in Like a Lion,Chica Umino,2007-07-13,NULL,Young Animal,11,Hakusensha
Mardock Scramble,Tow Ubukata,2009-10-09,2012-05-09,{Bessatsu Shōnen Magazine|SF Magazine},{3|7},{Viz Media|Kodansha Comics USA|Kodansha|Hayakawa}
Marginal (manga),Moto Hagio,NULL,NULL,Flowers (magazine),5,Shogakukan
Mari-chan,Kimiko Uehara,NULL,NULL,NULL,{2|4|6|7},NULL
Maria-sama ga Miteru,NULL,{1998-04-24|2008-08-01},{2012-04-28|2013-11-30},{Margaret (magazine)|Cobalt (magazine)},{9|10|39},Shueisha
Maria Holic,NULL,2006-06-27,2014-11-27,Monthly Comic Alive,14,Media Factory
Maria the Virgin Witch,Masayuki Ishikawa,{2008-11-07|2014-07-07},{2013-07-05|2015-01-07},Good! Afternoon,{1|3},Kodansha
Marine Hunter,Shiro_Otsuka,NULL,NULL,Weekly Shōnen Sunday,5,Shogakukan
Marionette Generation,Haruhiko Mikimoto,NULL,NULL,Monthly Newtype,5,Kadokawa Shoten
Maris the Chojo,Rumiko Takahashi,NULL,NULL,Weekly Shōnen Sunday,1,{Shogakukan|Viz Media}
Marmalade Boy,{Wataru Yoshizumi|Yumi_Kageyama},NULL,NULL,{Ribon|Cobalt (magazine)|Cocohana},{3|8|10},Shueisha
Marriage Royale,Navel (company),2009-10-26,NULL,Dengeki G's Magazine,7,ASCII Media Works
Mars (manga),Fuyumi Soryo,NULL,NULL,Bessatsu Friend,{1|15},{Tokyopop|Kodansha}
NULL,Kia Asamiya,NULL,NULL,Monthly Shōnen Ace,4,Kadokawa Shoten
Marude Dameo,NULL,NULL,NULL,Weekly Shōnen Magazine,NULL,Kodansha
Marvelous Melmo,Osamu Tezuka,NULL,NULL,Shogaku-Ichinensei,1,Shogakukan
Mashiro no Oto,Marimo Ragawa,2009-12-05,NULL,Monthly Shōnen Magazine,12,Kodansha
Mashiroiro Symphony,Palette (company),NULL,NULL,Monthly Comp Ace,{1|2},Kadokawa Shoten
Master Keaton,{Takashi_Nagasaki|Hokusei_Katsushika},NULL,NULL,Big Comic Original,{1|18},Shogakukan
NULL,NULL,NULL,NULL,Comic High!,3,Futabasha
Master of Mosquiton,{Satoru Akahori|Hiroshi Negishi},NULL,NULL,Kadokawa Shoten,4,Kadokawa Shoten
Material Puzzle,Masahiro_Totsuka,NULL,NULL,Gangan Comics,20,Square Enix
Max Lovely!,Erika Kurahashi,2001-11-02,2003-11-29,Ribon,5,Shueisha
Mayo Chiki!,NULL,{2009-07-27|2009-11-21|2010-11-30},{2011-10-29|2012-07-23|2013-11-27},Monthly Comic Alive,{2|7|12},{Media Factory|Kadokawa Shoten}
Mayoi Neko Overrun!,Tomohiro_Matsu,{2008-10-24|2010-01-04},{2010-10-04|2012-02-24},Jump Square,{2|12},Shueisha
Maze (novel),Satoru Akahori,NULL,NULL,Dragon Magazine (Fujimi Shobo),{6|13},{Kadokawa Shoten|Fujimi Shobo}
MazinSaga,Go Nagai,1990-01-01,NULL,Weekly Young Jump,6,{Fusosha Publishing|Shueisha}
Mazinger Angels,Go Nagai,2004-06-26,2006-11-25,Monthly Magazine Z,4,Kodansha
NULL,{Go Nagai|Yoshiaki_Tabata},NULL,NULL,Champion Red,9,Akita Shoten
NULL,Go Nagai,NULL,NULL,Champion Red,NULL,Akita Shoten
NULL,{Go Nagai|Yoshiaki_Tabata},NULL,NULL,Champion Red,5,Akita Shoten
Mazinger Z,Go Nagai,1972-10-02,1974-08-13,{Weekly Shōnen Jump|Monthly Shōnen Jump|Boken_Oh},5,{Kodansha|Shueisha|Akita Shoten}
Mazinkaizer SKL,Kazumi_Hoshi,2010-04-23,NULL,Shu_2_Comic_Gekkin,3,Bandai Visual
Me & My Brothers,Hari Tokeino,NULL,NULL,LaLa,11,Hakusensha
Me and the Devil Blues (manga),Akira Hiramoto,2003-11-25,NULL,Monthly Afternoon,5,Kodansha
NULL,NULL,1999-07-06,2000-06-06,Comic BomBom,4,{Viz Media|Kodansha}
Medaka Box,Nisio Isin,NULL,2013-04-27,Weekly Shōnen Jump,22,Shueisha
Meg and Seron,Keiichi Sigsawa,2008-03-10,2012-05-10,NULL,7,MediaWorks (publisher)
MegaMan NT Warrior,Ryo Takamisaki,NULL,NULL,CoroCoro Comic,13,Shogakukan
NULL,NULL,NULL,NULL,CoroCoro Comic,3,CoroCoro Comic
NULL,NULL,NULL,NULL,CoroCoro Comic,1,CoroCoro Comic
NULL,NULL,NULL,NULL,CoroCoro Comic,1,CoroCoro Comic
NULL,Ryo Takamisaki,NULL,NULL,CoroCoro Comic,NULL,Shogakukan
Megane na Kanojo,Tobi_(manga_artist),NULL,NULL,NULL,1,Flex Comix
Megumi-Toons,Megumi Hayashibara,NULL,NULL,NULL,NULL,NULL
Megumi (manga),{Souichi Moto|Yokota family},NULL,NULL,Manga Action,2,Futabasha
Mei-chan no Shitsuji,Riko Miyagi,{2006-11-21|2014-09-05},2013-01-25,Margaret (magazine),{3|20},Shueisha
NULL,Rei_Izawa,NULL,NULL,Bessatsu Hana to Yume,4,{Chuang Yi|Hakusensha}
NULL,Shinobu_Gotou,NULL,NULL,NULL,NULL,Hakusensha
Mel Kano,Towa Oshima,NULL,NULL,Monthly Sunday Gene-X,5,Shogakukan
Melody of Oblivion,Shinji_Katakura,NULL,NULL,Monthly Shōnen Ace,6,Kadokawa Shoten
Melted Love,You_Takumi,2006-10-10,NULL,NULL,1,{Digital Manga|Kaiōsha}
Melty Blood,Kinoko Nasu,NULL,NULL,Monthly Comp Ace,11,Kadokawa Shoten
Menacing Dog's,NULL,NULL,NULL,{Dengeki Daioh|Dengeki G's Magazine},4,{ASCII Media Works|MediaWorks (publisher)|Kadokawa Corporation}
Menkui!,Suzuki_Tanaka,NULL,2003-06-10,NULL,3,Libre Publishing
Mermaid Melody Pichi Pichi Pitch,Michiko Yokote,NULL,NULL,Nakayoshi,7,Kodansha
Mermaid Saga,Rumiko Takahashi,NULL,NULL,Weekly Shōnen Sunday,3,Shogakukan
MeruPuri,Matsuri Hino,NULL,NULL,LaLa,4,Hakusensha
Meshibana Deka Tachibana,NULL,2010-12-30,2015-10-30,Weekly Asahi Geinō,19,Tokuma Shoten
Message to Adolf,Osamu Tezuka,1983-01-06,1985-05-30,Bungeishunjū,5,Bungeishunjū
Metamo Kiss,Sora_Omote,NULL,NULL,NULL,3,{Tokyopop|Kadokawa Shoten}
Meteor Prince,NULL,2013-03-23,2014-02-24,LaLa,2,{Viz Media|Hakusensha}
Metropolis (manga),Osamu Tezuka,1949-09-15,NULL,NULL,NULL,Kodansha
NULL,Yasuomi Umetsu,2004-04-24,NULL,NULL,1,NULL
Me~teru no Kimochi,Hiroya Oku,NULL,NULL,Weekly Young Jump,3,Shueisha
Miami Guns,Takeaki Momose,NULL,NULL,Magazine Special,4,Kodansha
Midnight Panther,Yū Asagiri,NULL,NULL,Monthly_Comic_Nora,23,{Central Park Media|Gakken}
Midnight Secretary,Ohmi_Tomu,2006-08-08,2009-05-08,Petit Comic,7,Shogakukan
Midori Days,Kazurou Inoue,2002-09-25,2004-11-15,Weekly Shōnen Sunday,8,{Shogakukan|Chuang Yi}
Midori no Makibaō,Tsunomaru,NULL,NULL,Weekly Shōnen Jump,16,Shueisha
Mieru Hito,Toshiaki Iwashiro,NULL,NULL,Weekly Shōnen Jump,7,Shueisha
Mikagura School Suite,NULL,2013-07-25,NULL,Monthly Comic Gene,{4|7},Media Factory
Millennium Snow,Bisco Hatori,NULL,2013-12-10,{LaLa|LaLa DX},4,Hakusensha
Million Doll,NULL,2013-12-11,NULL,Comic Earth Star,2,Earth Star Entertainment
Miman Renai,Takashima_Hiromi,NULL,NULL,Comic High!,5,Futabasha
Minami-ke,Koharu Sakuraba,2004-03-01,NULL,Weekly Young Magazine,12,Kodansha
Minami-kun no Koibito,Shungicu Uchida,NULL,NULL,Garo (magazine),1,NULL
Minami Kamakura Kōkō Joshi Jitensha-Bu,NULL,NULL,NULL,Monthly Comic Blade,7,Mag Garden
Minami no Teiō,Dai_Tennōji,NULL,NULL,Weekly Manga Goraku,134,Nihon Bungeisha
Minamoto-kun Monogatari,NULL,NULL,NULL,Weekly Young Jump,7,Shueisha
Minima!,Machiko_Sakurai,2006-12-13,2008-02-13,Bessatsu Friend,4,Kodansha
Minna Agechau,Hikaru_Yuzuki,NULL,NULL,Weekly Young Jump,19,Shueisha
Minna Atsumare! Falcom Gakuen,NULL,NULL,NULL,NULL,3,NULL
Minori Scramble!,NULL,NULL,NULL,Manga Time Kirara Forward,1,Houbunsha
Mint na Bokura,Wataru Yoshizumi,NULL,1999-12-28,Ribon,{6|16},Shueisha
Miracle Girls,Nami Akimoto,1991-07-06,1994-08-06,Nakayoshi,9,Kodansha
Mirage of Blaze,Mizuna_Kuwabara,1990-11-02,2004-04-27,{Cobalt (magazine)|Serie_Mystery},{4|40},{Hakusensha|Shueisha}
Mirai Keisatsu Urashiman,Hirohisa_Soda,NULL,NULL,Weekly Shōnen Champion,4,Akita Shoten
Miritari!,NULL,NULL,NULL,NULL,5,Ichijinsha
Mirmo!,Hiromu Shinozuka,NULL,NULL,Ciao (magazine),12,Shogakukan
Miss Hokusai,Hinako Sugiura,NULL,NULL,Weekly Manga Sunday,NULL,Jitsugyo no Nihon Sha
Miss Kobayashi's Dragon Maid,NULL,NULL,NULL,NULL,3,Futabasha
Miss Machiko,Takeshi_Ebihara,NULL,NULL,Shōnen_Challenge,8,Gakken
NULL,NULL,2014-02-07,NULL,Good! Afternoon,NULL,Kodansha
Misshitsu,NULL,NULL,NULL,NULL,NULL,NULL
Missing (novel series),Gakuto Coda,{2001-07-10|2005-06-27},{2005-06-10|2005-11-26},Dengeki hp,{3|13},MediaWorks (publisher)
Missions of Love,Ema Tōyama,2009-06-10,2015-06-03,Nakayoshi,19,Kodansha
Mister Ajikko,Daisuke Terasawa,NULL,NULL,{Weekly Shōnen Magazine|Evening (magazine)},{13|19},Kodansha
Mistress Fortune,Arina Tanemura,NULL,NULL,Ribon,1,Shueisha
Mitarai - Tantei Mitarai Kiyoshi no Jiken Kiroku,Soji Shimada,2013-01-23,NULL,Weekly Morning,3,NULL
Mitsudomoe (manga),Norio_Sakurai,NULL,NULL,{Weekly Shōnen Champion|Bessatsu_Shōnen_Champion},16,Akita Shoten
Mix (manga),Mitsuru Adachi,2012-05-12,NULL,Monthly Shōnen Sunday,8,Shogakukan
Mixed Vegetables,Ayumi Komura,2005-10-25,2007-11-22,Margaret (magazine),8,Shueisha
Miyazaki Maya Daizukan,Maya_Miyazaki,2003-05-06,NULL,NULL,NULL,Shinyusha
Miyori no Mori,Hideji Oda,2007-08-16,NULL,NULL,{1|2},Akita Shoten
Miyuki-chan in Wonderland,Clamp (manga artists),NULL,NULL,Monthly Newtype,1,Kadokawa Shoten
Miyuki (manga),Mitsuru Adachi,NULL,NULL,Shōnen Big Comic,12,Shogakukan
Mizuiro Jidai,Yū Yabūchi,NULL,NULL,Ciao (magazine),7,Shogakukan
Mnemosyne (anime),{Xebec (studio)|Hiroshi Ōnogi},2008-05-27,2008-07-26,{Charano!|Comic Valkyrie},{1|2},{Hobby Japan|Kill Time Communication}
Mob Psycho 100,One (manga artist),2012-04-18,NULL,Weekly Shōnen Sunday,12,Shogakukan
NULL,NULL,1995-08-29,1997-03-01,NULL,3,Kadokawa Shoten
NULL,Kōichi Tokita,NULL,NULL,Comic BomBom,3,Kodansha
NULL,NULL,NULL,NULL,Comic BomBom,1,Kodansha
NULL,NULL,NULL,NULL,Comic BomBom,1,Kodansha
NULL,Yasuhiro Imagawa,2010-07-26,2011-08-26,Gundam Ace,7,Kadokawa Shoten
NULL,Yasuhiro Imagawa,2011-09-26,2013-01-26,Gundam Ace,8,Kadokawa Shoten
NULL,Yasuhiro Imagawa,2013-02-26,NULL,Gundam Ace,1,Kadokawa Shoten
Mobile Suit Crossbone Gundam,NULL,NULL,NULL,{Monthly Shōnen Ace|Gundam Ace},{1|3|5|6},Kadokawa Shoten
Mobile Suit Gundam-san,NULL,NULL,NULL,{Gundam Ace|Kerokero Ace},12,Kadokawa Shoten
Mobile Suit Gundam: Blue Destiny,Mizuho_Takayama,NULL,NULL,Comic BomBom,1,Kodansha
Mobile Suit Gundam: Char's Counterattack,Yoshiyuki Tomino,NULL,NULL,Comic BomBom,1,{Kodansha|Tokuma Shoten}
NULL,Kazuma_Isobe,NULL,NULL,Gundam Ace,NULL,Kadokawa Shoten
NULL,Hajime Kamoshida,NULL,NULL,Gundam Ace,NULL,Kadokawa Shoten
Mobile Suit Gundam: Lost War Chronicles,{Bandai Namco Entertainment|Tomohiro_Chiba},NULL,NULL,NULL,2,{Tokyopop|Kadokawa Shoten}
NULL,NULL,NULL,NULL,NULL,3,Kadokawa Shoten
NULL,Umanosuke Iida,NULL,NULL,Gundam Ace,4,Kadokawa Shoten
Mobile Suit Gundam: The Origin,Yoshikazu Yasuhiko,NULL,NULL,Gundam Ace,23,Kadokawa Shoten
NULL,NULL,NULL,NULL,Gundam Ace,NULL,Kadokawa Shoten
NULL,NULL,2012-01-25,2012-10-25,Shōnen Sunday Super,3,Shogakukan
NULL,NULL,NULL,NULL,Weekly Shōnen Sunday,NULL,Shogakukan
NULL,NULL,2011-09-15,2012-05-15,CoroCoro Comic,2,Shogakukan
Mobile Suit Gundam Alive,Yuka_Minakawa,2006-10-15,2007-11-15,Comic BomBom,4,Kodansha
Mobile Suit Gundam SEED Astray,Tomohiro_Chiba,NULL,NULL,{Monthly Shōnen Ace|Gundam Ace},{2|3|4},Kadokawa Shoten
NULL,Naoki_Moriya,NULL,NULL,Gundam Ace,1,Kadokawa Shoten
Mobile Suit Gundam SEED C.E. 73 Δ Astray,Tomohiro_Chiba,NULL,NULL,Gundam Ace,2,Kadokawa Shoten
Mobile Suit Gundam SEED Destiny Astray,Tomohiro_Chiba,NULL,NULL,Gundam Ace,4,Kadokawa Shoten
NULL,NULL,NULL,NULL,Comic BomBom,4,Kodansha
NULL,NULL,2005-02-25,2006-10-29,Gundam Ace,5,Kadokawa Shoten
NULL,NULL,2007-06-26,2007-10-26,Gundam Ace,2,Kadokawa Shoten
NULL,NULL,2003-03-20,2005-01-21,NULL,5,Kodansha
NULL,NULL,NULL,NULL,NULL,NULL,Kadokawa Shoten
NULL,NULL,2012-03-26,NULL,Gundam Ace,3,Kadokawa Shoten
NULL,NULL,NULL,NULL,NULL,5,Kadokawa Shoten
Mobile Suit Gundam Thunderbolt,NULL,NULL,NULL,Big Comic Superior,7,Shogakukan
Mobile Suit Gundam Unicorn,Harutoshi_Fukui,NULL,NULL,Gundam Ace,{10|12},Kadokawa Shoten
Mobile Suit Gundam Wing: Episode Zero,NULL,NULL,NULL,NULL,1,Gakken
NULL,NULL,NULL,NULL,Comic BomBom,3,Kodansha
NULL,NULL,NULL,NULL,Comic BomBom,1,Kodansha
NULL,NULL,NULL,NULL,NULL,1,NULL
NULL,NULL,NULL,NULL,Gundam Ace,7,Kadokawa Shoten
NULL,NULL,NULL,NULL,Gundam Ace,6,Kadokawa Shoten
NULL,Yoshiyuki Tomino,NULL,NULL,NULL,2,Akita Shoten
Mobile Suit Gundam École du Ciel,Haruhiko Mikimoto,2002-11-22,NULL,Gundam Ace,12,Kadokawa Shoten
NULL,NULL,NULL,NULL,Comic BomBom,1,Kodansha
NULL,NULL,NULL,NULL,Monthly Shōnen Ace,1,Kadokawa Shoten
NULL,NULL,NULL,NULL,Comic BomBom,3,Kodansha
NULL,Hiroyuki Kitazume,2011-06-25,NULL,Gundam Ace,8,Kadokawa Shoten
NULL,NULL,NULL,NULL,Dengeki Hobby Magazine,NULL,ASCII Media Works
NULL,NULL,NULL,NULL,Dengeki Hobby Magazine,NULL,ASCII Media Works
Modern Magic Made Simple,Hiroshi Sakurazaka,{2003-12-25|2008-08-04},NULL,Jump Square,6,Shueisha
Moekan,Midori Tateyama,NULL,NULL,NULL,NULL,Enterbrain
Moeyo Pen,Kazuhiko Shimamoto,NULL,NULL,Monthly Sunday Gene-X,{11|13},{Shogakukan|Takeshobo}
Mogura no Uta,NULL,NULL,NULL,{Big Comic Spirits|Weekly Young Sunday},47,Shogakukan
Mojacko,Fujiko Fujio,NULL,NULL,CoroCoro Comic,{7|10},{Shogakukan|Kodansha}
Mokke,Takatoshi_Kumakura,NULL,NULL,{Monthly Afternoon|Afternoon_Season_Zoukan},9,Kodansha
NULL,Shimpei Itoh,NULL,NULL,NULL,3,Tokuma Shoten
Momo Kyun Sword,NULL,NULL,NULL,NULL,NULL,NULL
Mon Colle Knights,{Satoru Akahori|Katsumi_Hasegawa|Hideaki_Nishikawa},NULL,NULL,NULL,4,Kadokawa Shoten
Monkey High!,Shouko_Akira,NULL,NULL,Betsucomi,8,Shogakukan
Monkey Turn,Katsutoshi_Kawai,NULL,NULL,Weekly Shōnen Sunday,30,Shogakukan
Monkey Typhoon,Shin Kibayashi,NULL,NULL,Weekly Shōnen Magazine,NULL,Kodansha
Monochrome Factor,Kaili_Sorano,NULL,2011-06-15,{Monthly Comic Avarus|Comic Blade Masamune},11,Mag Garden
Monogatari (series),Nisio Isin,2005-08-10,NULL,{Bessatsu Shōnen Magazine|Kodansha Box|Mephisto Prize},20,Kodansha
Monokuro Kinderbook,Kan_Takahama,NULL,NULL,NULL,1,{Seirindo|Ponent_Mon}
NULL,NULL,2013-09-25,2014-11-25,Monthly Comic Zenon,2,Tokuma Shoten
NULL,NULL,2007-08-17,2008-08-01,Gangan Comics,2,Square Enix
Monster (manga),Naoki Urasawa,2002-06-21,NULL,Big Comic Original,18,Shogakukan
Monster Hunter Orage,Hiro Mashima,NULL,NULL,Monthly Shōnen Rival,4,{Kodansha Comics USA|Kodansha}
Monster Musume,Okayado,2012-03-19,NULL,Monthly Comic Ryū,{4|9},Tokuma Shoten
Monster Retsuden Oreca Battle,NULL,NULL,NULL,CoroCoro Comic,6,Shogakukan
Monster Soul,Hiro Mashima,NULL,NULL,Comic BomBom,2,Kodansha
Monthly Girls' Nozaki-kun,Izumi Tsubaki,2011-08-25,NULL,Gangan Comics,7,Square Enix
Moon (visual novel),Midori Tateyama,1998-07-31,NULL,NULL,NULL,Movic
Moon Child (manga),Reiko Shimizu,NULL,NULL,LaLa,13,Hakusensha
Moonlight Mile (manga),Yasuo_Ōtagaki,NULL,NULL,Big Comic Superior,23,Shogakukan
More Starlight to Your Heart,Hiro_Matsuba,NULL,NULL,Monthly Comic Blade,8,Mag Garden
Mori no Asagao,Mamora_Gōda,NULL,NULL,Manga Action,NULL,Futabasha
Moribito: Guardian of the Spirit,Nahoko Uehashi,2007-03-12,NULL,Gangan Comics,2,{Square Enix|Shinchosha}
Morita-san wa Mukuchi,NULL,NULL,NULL,{Manga Life|Manga_Club},9,{Takeshobo|JManga}
Moshidora,NULL,2009-12-04,NULL,Super Jump,NULL,Shueisha
Moteki,NULL,2008-11-11,2010-04-13,Evening (magazine),4,Kodansha
